Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
proteasome assembly (GO:0043248)	6/11	3.807209952399613E-15	3.184949571654955E-13	0	0	351.90615835777123	11683.945960113724	PSMD10;PSMD8;PSMD9;PSMD11;PSMD4;ADRM1
neutrophil degranulation (GO:0043312)	12/479	2.900360798603571E-12	2.3871840573022616E-10	0	0	16.162704559229578	429.38141515301885	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2;PSMD1
neutrophil activation involved in immune response (GO:0002283)	12/483	3.1969900742650203E-12	2.5895619601546663E-10	0	0	16.028851933480265	424.2646579933241	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2;PSMD1
neutrophil mediated immunity (GO:0002446)	12/487	3.5209876024990093E-12	2.8074374586800693E-10	0	0	15.897198118831557	419.2453535952129	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2;PSMD1
positive regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045899)	4/8	3.2898112370389295E-10	2.582754883478409E-8	0	0	322.5806451612903	7043.555077925604	PSMC6;PSMC3;PSMC1;PSMC2
regulation of RNA polymerase II transcriptional preinitiation complex assembly (GO:0045898)	4/11	1.5459384578665177E-9	1.1952915076504302E-7	0	0	234.60410557184753	4759.562391766418	PSMC6;PSMC3;PSMC1;PSMC2
modification-dependent protein catabolic process (GO:0019941)	7/141	1.7006283050924475E-9	1.2952695881920535E-7	0	0	32.02928391672386	646.7438867103539	PSMD9;PSMD11;PSMC6;PSMD14;PSMD3;ADRM1;PSMC2
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	4/17	1.1077829399291044E-8	8.31325932714444E-7	0	0	151.80265654648957	2780.769651219697	PSMC6;PSMC3;PSMC1;PSMC2
ubiquitin-dependent ERAD pathway (GO:0030433)	4/58	1.8893430828291593E-6	1.3972924277793044E-4	0	0	44.49388209121246	586.3973910804742	PSMC6;PSMC3;PSMC1;PSMC2
ERAD pathway (GO:0036503)	4/77	5.903972263344628E-6	4.3039957799782336E-4	0	0	33.51487222454965	403.51521302455376	PSMC6;PSMC3;PSMC1;PSMC2
cellular protein complex assembly (GO:0043623)	4/144	6.971550465363604E-5	0.005010679158415559	0	0	17.921146953405017	171.52487126404182	PSMD8;PSMD11;PSMD4;ADRM1
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	2/23	5.764206322992976E-4	0.040853812314212715	0	0	56.100981767180926	418.4388723351019	USP14;PSMD14
regulation of proteasomal protein catabolic process (GO:0061136)	2/39	0.001662398983033374	0.11620852069067544	0	0	33.085194375516956	211.72848798562592	USP14;PSMD14
N-terminal peptidyl-methionine acetylation (GO:0017196)	1/6	0.009265092249714469	0.6389157533823369	0	0	107.52688172043011	503.38725403208963	NAA15
proteolysis (GO:0006508)	3/291	0.010141134990646275	0.6900028247635726	0	0	6.651147322913203	30.536450648929982	PSMA6;PSMD6;PSMB5
cytoplasmic sequestering of NF-kappaB (GO:0007253)	1/7	0.010801182772692638	0.7252425748559281	0	0	92.16589861751152	417.33637187634486	PSMD10
regulation of response to external stimulus (GO:0032101)	2/107	0.011917578268540506	0.7898104143423662	0	0	12.059089538739824	53.418640981329084	USP14;PSMA6
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	1/9	0.013866454289070039	0.907186105604159	0	0	71.68458781362007	306.6869330603856	USP14
negative regulation of ERAD pathway (GO:1904293)	1/12	0.018447136470887412	1.0	0	0	53.763440860215056	214.66914652532623	USP14
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	1/12	0.018447136470887412	1.0	0	0	53.763440860215056	214.66914652532623	PSMD10
peptidyl-methionine modification (GO:0018206)	1/12	0.018447136470887412	1.0	0	0	53.763440860215056	214.66914652532623	NAA15
negative regulation of release of cytochrome c from mitochondria (GO:0090201)	1/15	0.023007227131928758	1.0	0	0	43.01075268817205	162.23427480788808	PSMD10
N-terminal protein amino acid acetylation (GO:0006474)	1/15	0.023007227131928758	1.0	0	0	43.01075268817205	162.23427480788808	NAA15
negative regulation of insulin secretion (GO:0046676)	1/15	0.023007227131928758	1.0	0	0	43.01075268817205	162.23427480788808	PSMD9
negative regulation of signal transduction by p53 class mediator (GO:1901797)	1/15	0.023007227131928758	1.0	0	0	43.01075268817205	162.23427480788808	PSMD10
cytoplasmic sequestering of transcription factor (GO:0042994)	1/16	0.024522696784534302	1.0	0	0	40.32258064516129	149.52242705265203	PSMD10
negative regulation of NF-kappaB import into nucleus (GO:0042347)	1/16	0.024522696784534302	1.0	0	0	40.32258064516129	149.52242705265203	PSMD10
negative regulation of peptide hormone secretion (GO:0090278)	1/16	0.024522696784534302	1.0	0	0	40.32258064516129	149.52242705265203	PSMD9
N-terminal protein amino acid modification (GO:0031365)	1/17	0.026035891626597026	1.0	0	0	37.95066413662239	138.45462033112264	NAA15
regulation of peptidase activity (GO:0052547)	1/18	0.027546814940669486	1.0	0	0	35.842293906810035	128.74080144106162	PSMA3
regulation of chemotaxis (GO:0050920)	1/24	0.03656483627172508	1.0	0	0	26.881720430107528	88.94269510756361	USP14
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1/24	0.03656483627172508	1.0	0	0	26.881720430107528	88.94269510756361	USP14
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	1/25	0.03805995059128532	1.0	0	0	25.806451612903228	84.35077974953685	PSMD10
positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	1/26	0.03955281953600642	1.0	0	0	24.81389578163772	80.15181878144317	PSMD10
modulation by host of viral transcription (GO:0043921)	1/27	0.041043446358547446	1.0	0	0	23.894862604540023	76.29926179324352	PSMC3
negative regulation of response to DNA damage stimulus (GO:2001021)	1/28	0.04253183431893138	1.0	0	0	23.04147465437788	72.75351245727946	PSMD10
protein K63-linked deubiquitination (GO:0070536)	1/28	0.04253183431893138	1.0	0	0	23.04147465437788	72.75351245727946	PSMD14
positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	1/30	0.0455019066193127	1.0	0	0	21.505376344086024	66.45163548778518	PSMD10
positive regulation of insulin secretion (GO:0032024)	1/31	0.04698359743176254	1.0	0	0	20.81165452653486	63.64113900098038	PSMD9
protein acetylation (GO:0006473)	1/33	0.04994030455802936	1.0	0	0	19.550342130987293	58.59094615191288	NAA15
negative regulation of mitochondrion organization (GO:0010823)	1/33	0.04994030455802936	1.0	0	0	19.550342130987293	58.59094615191288	PSMD10
stem cell differentiation (GO:0048863)	1/33	0.04994030455802936	1.0	0	0	19.550342130987293	58.59094615191288	PSMD11
positive regulation of peptide hormone secretion (GO:0090277)	1/39	0.05875726186108227	1.0	0	0	16.542597187758478	46.88735363855083	PSMD9
regulation of viral transcription (GO:0046782)	1/40	0.06021903535976484	1.0	0	0	16.129032258064516	45.318818946116544	PSMC3
regulation of release of cytochrome c from mitochondria (GO:0090199)	1/40	0.06021903535976484	1.0	0	0	16.129032258064516	45.318818946116544	PSMD10
negative regulation of protein secretion (GO:0050709)	1/42	0.06313599453486288	1.0	0	0	15.360983102918587	42.43416644705502	PSMD9
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	1/47	0.07039011205855722	1.0	0	0	13.726835964310226	36.42693863275721	PSMD10
non-recombinational repair (GO:0000726)	1/49	0.0732765135248936	1.0	0	0	13.166556945358789	34.41099588139884	PSMD14
double-strand break repair via nonhomologous end joining (GO:0006303)	1/50	0.07471646000262763	1.0	0	0	12.903225806451614	33.471675651901464	PSMD14
cellular protein catabolic process (GO:0044257)	1/62	0.09182782112653406	1.0	0	0	10.40582726326743	24.847450206964346	PSMA6
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	1/65	0.09605757528589014	1.0	0	0	9.925558312655088	23.253672702001392	PSMD10
negative regulation of apoptotic signaling pathway (GO:2001234)	1/65	0.09605757528589014	1.0	0	0	9.925558312655088	23.253672702001392	PSMD10
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1/67	0.09886681344336717	1.0	0	0	9.629272989889264	22.28196103375187	PSMD10
regulation of endopeptidase activity (GO:0052548)	1/68	0.1002682623878204	1.0	0	0	9.487666034155598	21.820740616025198	PSMA3
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	1/70	0.10306483535857697	1.0	0	0	9.216589861751151	20.943751329811803	PSMD10
recombinational repair (GO:0000725)	1/71	0.10445996552065845	1.0	0	0	9.086778736937756	20.526591422500992	PSMD14
positive regulation of growth (GO:0045927)	1/71	0.10445996552065845	1.0	0	0	9.086778736937756	20.526591422500992	PSMD10
positive regulation of proteasomal protein catabolic process (GO:1901800)	1/73	0.10724392850313601	1.0	0	0	8.837825894829871	19.73176609341429	PSMD10
regulation of defense response (GO:0031347)	1/75	0.1100195153566116	1.0	0	0	8.60215053763441	18.985785088968562	PSMA6
double-strand break repair via homologous recombination (GO:0000724)	1/76	0.11140417537718053	1.0	0	0	8.488964346349745	18.62980026525617	PSMD14
negative regulation of MAPK cascade (GO:0043409)	1/80	0.11692199671950551	1.0	0	0	8.064516129032258	17.308453719590357	PSMD10
positive regulation of protein targeting to mitochondrion (GO:1903955)	1/81	0.11829626253520985	1.0	0	0	7.964954201513341	17.001697344530708	PSMD8
positive regulation of protein secretion (GO:0050714)	1/82	0.11966845858358988	1.0	0	0	7.867820613690008	16.703620810684136	PSMD9
positive regulation of cell cycle (GO:0045787)	1/82	0.11966845858358988	1.0	0	0	7.867820613690008	16.703620810684136	PSMD10
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	1/82	0.11966845858358988	1.0	0	0	7.867820613690008	16.703620810684136	PSMD10
positive regulation of protein ubiquitination (GO:0031398)	1/83	0.12103858786538906	1.0	0	0	7.77302759424796	16.413881665350292	PSMD10
regulation of protein targeting to mitochondrion (GO:1903214)	1/88	0.12785833813457156	1.0	0	0	7.331378299120235	15.079416138326568	PSMD8
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	1/88	0.12785833813457156	1.0	0	0	7.331378299120235	15.079416138326568	PSMD10
negative regulation of programmed cell death (GO:0043069)	2/408	0.1312810765090873	1.0	0	0	3.1625553447185326	6.42129864685083	PSMD10;NAA15
transcription elongation from RNA polymerase II promoter (GO:0006368)	1/95	0.13732002340321625	1.0	0	0	6.791171477079796	13.483471239146656	ADRM1
positive regulation of cell growth (GO:0030307)	1/98	0.14134455256627768	1.0	0	0	6.583278472679394	12.880544662301848	PSMD10
regulation of insulin secretion (GO:0050796)	1/98	0.14134455256627768	1.0	0	0	6.583278472679394	12.880544662301848	PSMD9
regulation of protein ubiquitination (GO:0031396)	1/101	0.1453509096429046	1.0	0	0	6.387735547748323	12.319414843204841	PSMD10
DNA-templated transcription, elongation (GO:0006354)	1/108	0.15462885200071758	1.0	0	0	5.973715651135006	11.151299502339015	ADRM1
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	1/110	0.15726174007999252	1.0	0	0	5.865102639296188	10.84952332839949	PSMD8
positive regulation of protein serine/threonine kinase activity (GO:0071902)	1/118	0.16771416002758419	1.0	0	0	5.467468562055768	9.762133280805488	PSMD10
negative regulation of apoptotic process (GO:0043066)	2/485	0.17279183850004035	1.0	0	0	2.6604589291652814	4.670881688407424	PSMD10;NAA15
positive regulation of mitochondrion organization (GO:0010822)	1/128	0.1806033594018831	1.0	0	0	5.040322580645161	8.626270346940142	PSMD8
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	1/128	0.1806033594018831	1.0	0	0	5.040322580645161	8.626270346940142	PSMA6
positive regulation of nucleic acid-templated transcription (GO:1903508)	2/502	0.18224909073322165	1.0	0	0	2.5703637064644647	4.375738072802829	PSMD9;NAA15
negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433)	1/140	0.19581553454919778	1.0	0	0	4.608294930875576	7.5142037473308525	PSMD10
double-strand break repair (GO:0006302)	1/141	0.19707080560329754	1.0	0	0	4.575611988103409	7.431673280776554	PSMD14
positive regulation of intracellular protein transport (GO:0090316)	1/152	0.21075424042005939	1.0	0	0	4.244482173174872	6.608924285591947	PSMD8
protein stabilization (GO:0050821)	1/152	0.21075424042005939	1.0	0	0	4.244482173174872	6.608924285591947	NAA15
negative regulation of intracellular signal transduction (GO:1902532)	1/161	0.2217816690893113	1.0	0	0	4.007212983370066	6.035110613532309	PSMD10
regulation of inflammatory response (GO:0050727)	1/166	0.22784343510641275	1.0	0	0	3.88651379712398	5.748529242268745	PSMA6
negative regulation of protein phosphorylation (GO:0001933)	1/178	0.2422058302138552	1.0	0	0	3.624501631025734	5.139425067974663	PSMD10
positive regulation of transcription, DNA-templated (GO:0045893)	3/1120	0.2501058972677043	1.0	0	0	1.7281105990783412	2.394938125122576	PSMD9;PSMC3;NAA15
regulation of cell growth (GO:0001558)	1/201	0.2690145471023502	1.0	0	0	3.209757663296421	4.214379144262834	PSMD10
regulation of MAPK cascade (GO:0043408)	1/203	0.27130186937220124	1.0	0	0	3.178134435086604	4.145950004501392	PSMD10
positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)	1/215	0.2848810421449348	1.0	0	0	3.000750187546887	3.7679927436762846	PSMA6
positive regulation of gene expression (GO:0010628)	2/771	0.33698755020071264	1.0	0	0	1.6735701435086399	1.8203577964717415	PSMD9;NAA15
regulation of apoptotic process (GO:0042981)	2/815	0.36209857293647	1.0	0	0	1.5832178903621612	1.6082941670992443	PSMD10;NAA15
transcription from RNA polymerase II promoter (GO:0006366)	1/485	0.5330774847860283	1.0	0	0	1.3302294645826407	0.8368320459582519	ADRM1
positive regulation of cellular process (GO:0048522)	1/519	0.5576661143698883	1.0	0	0	1.2430853378084405	0.7259554441353785	PSMD10
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	1/565	0.5889468351527054	1.0	0	0	1.1418783899514702	0.6045325290358247	PSMD10
regulation of transcription from RNA polymerase II promoter (GO:0006357)	2/1478	0.6787197482174533	1.0	0	0	0.873019337378323	0.33833600643644823	PSMD10;PSMC3
regulation of transcription, DNA-templated (GO:0006355)	2/1598	0.7208822755371574	1.0	0	0	0.8074609390770722	0.26426535948172486	PSMD9;NAA15
negative regulation of transcription, DNA-templated (GO:0045892)	1/813	0.7240294926389795	1.0	0	0	0.7935563226600009	0.25625770879411036	PSMD10
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	1/848	0.7392271775637018	1.0	0	0	0.7608034083992696	0.2298767446331868	PSMC3
